feature,coefficient,absolute_coefficient
numeric__days_since_last_login,0.6586553998790791,0.6586553998790791
numeric__support_tickets_last_90d,0.6089206627741358,0.6089206627741358
numeric__tenure_months,-0.570105116123451,0.570105116123451
numeric__payment_failed_last_90d,0.5277419427141028,0.5277419427141028
numeric__avg_rating,-0.5205732242513061,0.5205732242513061
categorical__payment_method_Net Banking,0.4567644984283278,0.4567644984283278
categorical__device_type_Desktop,0.3906043991801459,0.3906043991801459
numeric__watch_hours_per_week,-0.380303251554466,0.380303251554466
categorical__region_East,-0.31850565360151484,0.31850565360151484
categorical__device_type_Mobile,-0.30611832884622053,0.30611832884622053
numeric__monthly_fee,0.3015586334495347,0.3015586334495347
categorical__region_South,0.2818226553422342,0.2818226553422342
categorical__payment_method_Credit Card,-0.2753525631604905,0.2753525631604905
categorical__payment_method_Debit Card,-0.21275842417438842,0.21275842417438842
numeric__discount_used,0.18643900193732804,0.18643900193732804
numeric__age,0.1781437077826795,0.1781437077826795
categorical__plan_type_Annual,-0.14800165894464512,0.14800165894464512
categorical__plan_type_Monthly,0.14716655599593748,0.14716655599593748
categorical__region_North,0.13073190820390793,0.13073190820390793
